PHZadded_from_swv,treatment,reactor,run,echem_from_swv,rep,minutes_from_swv,E_from_maxs_from_swv,PHZaddedInt_from_swv,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv,PHZadded_from_gc,echem_from_gc,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,PHZaddedInt_from_gc,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc
75uM,control,transfer,1,SWV,9,948.4833333333333,-0.219,75,i1,1.4279112e-6,1.4279112e-6,-0.036,1.0819557e-6,1.0819557e-6,3.459555000000001e-7,75uM,GC,948.25,-0.399,133.33363,75,i2,3.0446891e-8,3.0446891e-8,-0.19,63.666569,7.1604744e-9,7.1604744e-9,2.3286416600000005e-8
75uM,control,transfer,1,SWV,10,951.2,-0.216,75,i1,1.3988088e-6,1.3988088e-6,-0.058,1.0856256e-6,1.0856256e-6,3.1318320000000007e-7,75uM,GC,950.95,-0.399,133.33363,75,i2,2.5776037e-8,2.5776037e-8,-0.203,67.999931,6.6347936e-9,6.6347936e-9,1.91412434e-8
75uM,control,transfer,1,SWV,11,953.8833333333333,-0.212,75,i1,1.3802554e-6,1.3802554e-6,-0.044,1.0865624e-6,1.0865624e-6,2.9369299999999985e-7,75uM,GC,953.6333333333333,-0.399,133.33363,75,i2,2.4504031e-8,2.4504031e-8,-0.19,63.666569,6.5173196e-9,6.5173196e-9,1.7986711399999998e-8
75uM,control,transfer,1,SWV,12,956.6,-0.218,75,i1,1.3743942e-6,1.3743942e-6,-0.062,1.0851584e-6,1.0851584e-6,2.8923579999999997e-7,75uM,GC,956.35,-0.399,133.33363,75,i2,2.2027375e-8,2.2027375e-8,-0.195,65.333244,6.2776433e-9,6.2776433e-9,1.57497317e-8
75uM,control,transfer,1,SWV,13,959.3333333333334,-0.222,75,i1,1.3461366e-6,1.3461366e-6,-0.059,1.0871071e-6,1.0871071e-6,2.5902949999999984e-7,75uM,GC,959.0833333333334,-0.399,133.33363,75,i2,1.9099614e-8,1.9099614e-8,-0.188,62.999905,5.6934617e-9,5.6934617e-9,1.3406152299999998e-8
75uM,control,transfer,1,SWV,14,962.0833333333334,-0.214,75,i1,1.3448036e-6,1.3448036e-6,-0.056,1.0879367e-6,1.0879367e-6,2.5686690000000003e-7,75uM,GC,961.8,-0.399,133.33363,75,i2,1.9159769e-8,1.9159769e-8,-0.195,65.333244,5.807391e-9,5.807391e-9,1.3352378e-8
75uM,control,transfer,1,SWV,15,964.8333333333334,-0.214,75,i1,1.3270397e-6,1.3270397e-6,-0.047,1.0835371e-6,1.0835371e-6,2.435026e-7,75uM,GC,964.5166666666667,-0.399,133.33363,75,i2,1.738926e-8,1.738926e-8,-0.2,66.999924,5.3326477e-9,5.3326477e-9,1.20566123e-8
75uM,control,transfer,1,SWV,1,925.8,-0.219,75,i1,2.1303392e-6,2.1303392e-6,-0.035,1.0947907e-6,1.0947907e-6,1.0355485e-6,75uM,GC,925.5333333333333,-0.399,133.33363,75,i2,1.511123e-7,1.511123e-7,-0.163,54.666603,1.5710819e-8,1.5710819e-8,1.35401481e-7
75uM,control,transfer,1,SWV,2,928.6166666666667,-0.219,75,i1,1.8180668e-6,1.8180668e-6,-0.051,1.0878339e-6,1.0878339e-6,7.302329000000001e-7,75uM,GC,928.3666666666667,-0.399,133.33363,75,i2,9.1375128e-8,9.1375128e-8,-0.172,57.666592,1.4221825e-8,1.4221825e-8,7.715330299999999e-8
75uM,control,transfer,1,SWV,3,931.45,-0.218,75,i1,1.7092011e-6,1.7092011e-6,-0.047,1.0850326e-6,1.0850326e-6,6.241685e-7,75uM,GC,931.05,-0.399,133.33363,75,i2,7.6917729e-8,7.6917729e-8,-0.182,60.999912,1.2848411e-8,1.2848411e-8,6.406931799999999e-8
75uM,control,transfer,1,SWV,4,934.5166666666667,-0.216,75,i1,1.6060494e-6,1.6060494e-6,-0.028,1.0864759e-6,1.0864759e-6,5.195735000000001e-7,75uM,GC,934.25,-0.399,133.33363,75,i2,5.9612823e-8,5.9612823e-8,-0.157,52.666611,1.1366509e-8,1.1366509e-8,4.8246313999999995e-8
75uM,control,transfer,1,SWV,5,937.6333333333333,-0.214,75,i1,1.585792e-6,1.585792e-6,-0.031,1.0865785e-6,1.0865785e-6,4.992134999999999e-7,75uM,GC,937.4,-0.399,133.33363,75,i2,5.3605909e-8,5.3605909e-8,-0.193,64.666573,1.1011132e-8,1.1011132e-8,4.2594777e-8
75uM,control,transfer,1,SWV,6,940.3333333333334,-0.217,75,i1,1.4679638e-6,1.4679638e-6,-0.038,1.0837745e-6,1.0837745e-6,3.841893e-7,75uM,GC,940.0833333333334,-0.399,133.33363,75,i2,4.0711488e-8,4.0711488e-8,-0.192,64.333237,9.5289909e-9,9.5289909e-9,3.1182497100000005e-8
75uM,control,transfer,1,SWV,7,943.0666666666667,-0.218,75,i1,1.4932233e-6,1.4932233e-6,-0.05,1.0853062e-6,1.0853062e-6,4.079170999999999e-7,75uM,GC,942.8333333333334,-0.399,133.33363,75,i2,4.0746706e-8,4.0746706e-8,-0.196,65.66658,7.8349478e-9,7.8349478e-9,3.2911758199999996e-8
75uM,control,transfer,1,SWV,8,945.7833333333333,-0.221,75,i1,1.4510649e-6,1.4510649e-6,-0.043,1.0850194e-6,1.0850194e-6,3.6604549999999985e-7,75uM,GC,945.5,-0.399,133.33363,75,i2,3.3331041e-8,3.3331041e-8,-0.193,64.666573,7.3065491e-9,7.3065491e-9,2.6024491899999998e-8
